QA 넘버,페이지,시나리오,DEPTH1,DEPTH2,DEPTH3,작동 UI,확인 사항,정상 결과,P/F [웹_explore]," 이슈 내용_웹_explore",이미지,P/F[웹_Safari],이슈 내용_웹_맥_사파리,파일과 미디어 2,P/F[웹_Chrome],이슈 내용_웹_크롬,파일과 미디어 2 (1),P/F[모바일_ios],이슈 내용_모바일_ios_사파리,이미지2,P/F[모바일_android],이슈 내용_모바일_안드,파일과 미디어 2 (2),우선순위,진행상황
"QA_0011
",회원가입,이메일 입력 시 활성화된 [Verify] 버튼 클릭,,이메일 입력,verify 버튼 클릭,헬퍼텍스트,1. 중복 확인 후 헬퍼텍스트 + 입력필드 상태가 정상 노출 되는가?,"1. 중복일 경우, This email is already registered. + 입력필드 실패 상태
2. 중복이 아닐 경우, Verified successfully + 입력필드 성공 상태",Pass,,,Fail,,,Fail,"1. 1 탈퇴한 계정으로 로그인시 Email error + Password error 표시
→ 탈퇴한 계정으로 로그인 불가하다는 모달 노출",,Fail,,,Fail,"1. 1 탈퇴한 계정으로 로그인시 Email error + Password error 표시
→ 탈퇴한 계정으로 로그인 불가하다는 모달 노출",,Medium,시작 전
"QA_0012
",회원가입,비밀번호 입력필드 확인,,,,,1. 비밀번호 입력필드에 플레이스 홀더가 정상 노출되는가?,"1. 이름 입력필드 플레이스홀더 정상 노출
: Enter 8–20 characters & letters+numbers",Pass,,,Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
QA_0013,회원가입,비밀번호 입력 시 눈 아이콘 확인,,비밀번호 입력,,[눈] 버튼,1. 1자 이상 입력 시 눈 버튼이 자동 정상 노출되는가?,1. 눈 버튼 정상 노출,Pass,,,Pass,,,Pass,,,,,,Pass,,,Low,시작 전
"QA_0014
",회원가입,눈 아이콘 클릭하여 비밀번호 조회,,비밀번호 입력,눈 버튼 클릭,[눈] 버튼,1. 눈 버튼 클릭 시 문자가 정상 노출되는가?,1. 문자(asdf) 정상 노출,Pass,1. 눈 아이콘 2개 뜸 (활성/비활성 눈) → 시간 지나 1개 뜸,,Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
"QA_0015
",회원가입,눈 아이콘 재클릭 시 비밀번호 숨기기,,비밀번호 입력,눈 버튼 클릭,[눈] 버튼,1. 눈 버튼 재클릭 시 * 문자로 정상 노출되는가?,1. 문자(*) 정상 노출,Pass,,,Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
"QA_0016
",회원가입,8자 미만 입력 시 에러 메시지 확인,,비밀번호 입력,첫번째 비밀번호 필드,헬퍼텍스트,"1. 에러 메시지가 실시간으로 정상 노출되는가?
2. 입력필드가 에러상태로 정상 노출되는가?","1. 에러 메시지 정상 노출
: Please check your password format.
2. 입력필드 에러 상태",Pass,,,Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
QA_0017,회원가입,20자 초과 입력 시 에러 메시지 확인,,비밀번호 입력,첫번째 비밀번호 필드,헬퍼텍스트,"1. 에러 메시지가 실시간으로 정상 노출되는가?
2. 입력필드가 에러상태로 정상 노출되는가?","1. 에러 메시지 정상 노출
: Please check your password format.
2. 입력필드 에러 상태",Pass,,,Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
,회원가입,영문 + 숫자 조합이 아닌 경우 에러메시지 확인,,비밀번호 입력,첫번째 비밀번호 필드,헬퍼텍스트,"1. 에러 메시지가 실시간으로 정상 노출되는가?
2. 입력필드가 에러상태로 정상 노출되는가?","1. 에러 메시지 정상 노출
: Please check your password format.
2. 입력필드 에러 상태",Pass,,,Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
"QA_0018
",회원가입,입력한 비밀번호 일치 시 유효성 검사 확인,,비밀번호 입력,두번째 비밀번호 필드,헬퍼텍스트,1. 성공 메시지가 정상 노출되는가?,"1. 성공 메시지 정상 노출
: Passwords match",Pass,,,Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
"QA_0019
",회원가입,입력한 비밀번호 불일치 시 유효성 검사 확인,,비밀번호 입력,두번째 비밀번호 필드,헬퍼텍스트,1. 에러 메시지가 정상 노출되는가?,"1. 에러 메시지 정상 노출
: Passwords do not match.",Pass,,,Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
"QA_0020
",회원가입,필수항목 입력 시 활성화된 가입하기 버튼 확인,,"필수 항목(이름, 이메일, 비밀번호, 필수 약관 동의) 입력",,[가입하기] 버튼,1. 회원가입 화면에서 가입하기 버튼이 활성화되는가?,1. 가입하기 버튼 정상 활성화,Pass,,,Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
"QA_0021
",회원가입,가입하기 버튼 클릭 후 회원가입 성공 확인 및 메인 이동,,가입하기 버튼 클릭,가입 성공 모달,[start] 버튼,"1. 가입하기 버튼 클릭 시 회원가입 성공 확인 팝업이 노출 되는가?
2. [start] 버튼 클릭 시로그인 페이지로 정상 이동하는가?
","1. 회원가입 성공 팝업 노출
2. [start] 버튼 클릭 시 로그인 페이지 이동",Pass,,,Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
"QA_0022
",회원가입,필수 정보 미입력 시 계정 생성 불가,,필수값 누락,,[가입하기] 버튼,1. 필수값 누락 시 가입하기 버튼이 비활성화 되는가?,1. 가입하기 버튼 정상 비활성화,Pass,,,Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
"QA_0023
",회원가입,전체 동의 클릭하여 하위 약관 전체 동의,,전체 동의 클릭,,[전체 동의] 체크박스,1. 하위 항목이 정상 체크되는가?,1. 모든 하위 약관 정상 체크 노출,Pass,,,Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
"QA_0024
",회원가입,각 항목 개별 클릭하여 개별 동의,,개별 동의 클릭,,[각 항목] 체크 박스,1. 선택 항목이 정상 체크되는가?,1. 모든 선택 약관 정상 체크 노출,Pass,,,Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
QA_0025,회원가입,[info] 버튼 클릭 후 약관 페이지 확인,,info 클릭,페이지 이동,[info] 버튼 클릭,1. info 클릭 시 해당 약관 페이지로 정상 이동하는가?,1. 해당 약관 상세 페이지로 이동,Pass,,,Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
QA_0026,회원가입,약관 페이지에서 확인 후 동의 버튼 클릭,,페이지 확인,동의하기 버튼 클릭,[동의] 버튼 클릭,1. 동의 버튼이 정상 노출되는가?,1. 동의 버튼 정상 노출,Pass,,,Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
"QA_0027 ",회원가입,가입 중 서버 오류 500 발생,,서버 오류,,,1. 서버 오류시 500번 페이지가 노출 되는가?,1. 서버 오류 500 페이지 정상 노출,Pass,,,확인불가,,,확인불가,,,확인불가,,,확인불가,,,Low,시작 전
QA_0028,회원가입,가입 중 클라이언트 오류 400 발생,,클라이언트 오류,,,,,Fail,"1. 2 메인홈으로 이동했다가 다시 400 에러 페이지 뜸
→ 로그인 페이지로 바로 이동하기",,확인불가,,,확인불가,,,확인불가,,,확인불가,,,Low,시작 전
QA_0029,메인 홈,로그인 성공 후 메인 진입,메인(채팅 목록),,,페이지 전체,1. 로그인 시 메인(채팅목록)으로 이동하는가?,1. 로그인 후 메인홈(채팅목록) 이동,Pass,,,Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
QA_0030,메인 홈,채팅 목록별 대화 문구 노출,,,,콘텐츠,"1. 채팅 목록이 정상 노출 되는가?
2. 채팅방 별 채팅 유도 문구가 정상 노출되는가?","1. 채팅 목록 정상 노출
:riend, Honey, Coworker, Senior
2. 채팅 유도 문구 정상 노출
: 대화 시작 시점에 따라 문구 변경
1) 처음 대화를 나눌 경우→ Start your first chat now
2) 하루 이내 대화를 나눴을 경우→ Talk again with a new topic
3) 2일 이상 지났을 경우→ It’s been a while! Let’s chat again",Pass,1. 2 하루 이내 대화 나눈 경우가 즉 한번 이후에 2번째 대화부터는 ‘Talk again with a new topic’이라고 내보내기,,확인중,,,Pass,,,확인중,,,Pass,,,Low,완료
QA_0031,메인 홈,[메뉴] 버튼 탭 시 사이드바 오픈,메뉴 화면(사이드 바),메뉴 버튼 클릭,,[메뉴] 버튼,"1. [메뉴] 버튼이 정상 노출 되는가?
(애니메이션 : slide-in from left)
2. 탭 시 사이드 바가 정상 노출 되는가?","1. [메뉴] 버튼이 왼쪽에서 오른쪽으로 슬라이드 되며 정상 노출
2. 사이드 바 메뉴 정상 노출
: About the Service, Terms of Service, Privacy Policy, Contact Us
: Log out, Delete account",Pass,,,Fail,1. 1 웹 화면에서 메뉴 사이드 바가 화면 밖으로 빠짐 (애니메이션) - 첨부 이미지 참고,%ED%85%8C%EC%8A%A4%ED%8A%B8%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/QA_0031/IMG_347709007416-2.jpeg,Pass,,,Pass,,,Pass,,,Low,완료
QA_0032,메인 홈,[About the Service] 탭 시 서비스 소개서 링크 이동,,서비스 소개 클릭,페이지 이동,"[About the Service] 버튼 ","1. [About the Service] 탭 시 활성화 되는가?
2. [About the Service] 탭 시 서비스 소개서 페이지로 정상 이동 하는가?","1. [About the Service] 호버 시 활성화
2. 서비스 소개서 링크 이동 및 이미지 노출",Pass,,,Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
QA_0033,메인 홈,[Terms of Service] 탭 시 서비스 이용약관 페이지로 이동,,서비스 이용약관 클릭,페이지 이동,[Terms of Service] 버튼,"1. [Terms of Service] 탭 시 활성화 되는가?
2. [Terms of Service] 탭 시 서비스 이용약관 페이지로 이동 후 정상 노출 되는가?","1. [Terms of Service] 호버 시 활성화
2. 서비스 이용약관 페이지 이동",Pass,,,Pass,,,Pass,,,,,,Pass,,,Low,시작 전
QA_0034,메인 홈,[Privacy Policy] 탭 시 개인정보처리방침 페이지로 이동,,개인정보 처리방침 클릭,페이지 이동,[Privacy Policy] 버튼,"1. [Privacy Policy] 탭 시 활성화 되는가?
2. [Privacy Policy] 탭 시 개인정보 처리방침 페이지로 이동 후 정상 노출 되는가?","1. [Privacy Policy] 호버 시 활성화
2. 개인정보 처리방침 페이지 이동",Pass,,,Pass,,,Pass,,,Pass,,,Pass,"1. 메인홈으로 돌아올 때, 홈화면 로딩이 오래걸림 (메뉴탭 모두 동일)
-첨부 이미지 참고",%ED%85%8C%EC%8A%A4%ED%8A%B8%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/QA_0034/%EC%97%90%EB%9F%AC2.jpg,Low,시작 전
QA_0035,메인 홈,[Contact Us] 탭 시 구글 폼 이동,,Contact Us 클릭,링크 이동,[Contact Us] 버튼,"1. [Contact Us] 탭 시 활성화 되는가?
2. [Contact Us] 탭 시 구글 폼으로 정상 이동 하는가?
3. 구글 폼으로 이동 시 페이지가 정상 노출 되는가?","1. [Contact Us] 호버 시 활성화 (데스크탑 한정)
2. 구글 폼 링크 이동
3. 구글 폼 페이지 정상 노출",Pass,,,Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
QA_0036,메인 홈,[Log out] 탭 시 모달 확인,,로그아웃 버튼 클릭,로그아웃,[Log out] 버튼,"1. 로그아웃 클릭시 모달이 정상 노출되는가?
2. 모달의 [Keep] 버튼을 누를 시 이전 화면이 유지되는가?
3. 모달의 [Log out] 버튼을 누를 시 로그아웃이 되는가?
4. 로그아웃 시 로그인 화면으로 정상 이동 하는가?","1. 메시지 모달 노출
:  Logout
You can log in again anytime.
2. 이전 화면 정상 유지
3. 로그아웃 시 로그인 화면으로 이동
4. 로그아웃 시 로그인 화면으로 이동",Pass,,,Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
QA_0037,메인 홈,[Delete account] 탭 시 모달 확인,,계정삭제 버튼 클릭,계정 삭제,[Delete account] 버튼,"1. 계정삭제 버튼 클릭 시 문구와 함께 모달이 정상 노출되는가?
2. 모달의 [Keep] 버튼을 누를 시 이전 화면이 유지되는가?
3. 모달의 [Delete] 버튼을 누를 시 계정이 정상 삭제 되며, 로그인 화면으로 정상 이동하는가?","1. 메시지 모달 노출
:  Delete Account
This action cannot be undone.Are you sure you want to continue?
2. 이전 화면 정상 유지
3. 로그아웃 시 로그인 화면으로 이동",Pass,"1. 탈퇴 후 같은 계정으로 재가입 안되니 회원 탈퇴시 모달창에 알림 멘트 추가 필요
⇒ 디자인팀과 논의 후 변경사항 전달 예정
⇒ 디자인팀에서 전달 예정",,Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
QA_0038,메인 홈,[x] 버튼 탭 시 사이드바 숨김,,취소 버튼 클릭,,"[x] 버튼 ","1. [x] 버튼 클릭 시 사이드 바가 숨김 처리 되는가? 
(애니메이션 : slide-out to left)","1. 사이드 바 왼쪽 방향으로 닫히며 숨김 처리
",Pass,,,Pass,"1. 1 웹 화면에서 메뉴 사이드 바가 화면 밖으로 빠짐 (애니메이션)
→ QA31번 과 동일",,Pass,,,Pass,,,Pass,,,Low,완료
QA_0039,메인 홈,상단 [북마크] 버튼 탭 시 보관함 화면 이동,메인(채팅 목록),보관함 버튼 클릭,,[보관함] 버튼,"1. [보관함] 버튼이 정상 노출되는가?
2. 탭 시 해당 채팅방 보관함으로 이동하는가?","1. [보관함] 버튼 정상 노출
2. 해당 채팅방 보관함 이동",Pass,"
",,Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
QA_0040,메인 홈,서버 오류 발생 시 페이지 이동,,서버 오류,접속 실패,페이지 전체,1. 서버 오류 시 서버 오류 페이지가 보여지는가?,1. 서버 오류: ‘서버 오류_500’ 페이지 로드,확인불가,,,확인불가,,,확인불가,,,확인불가,,,확인불가,,,Low,시작 전
QA_0041,메인 홈,클라이언트 오류 발생 시 페이지 이동,,클라이언트 오류,접속 실패,페이지 전체,"1. 클라이언트 오류시 400번 페이지가 노출 되는가?
2. [Go back] 버튼 클릭 시 로그인 화면으로 재로딩 되는가?","1. 클라이언트 오류: ‘서버 오류_400’ 페이지 로드
2. 해당 페이지에서 ‘Go Back’ 버튼 클릭 시 로그인 화면으로 이동",Fail,"1. 2 메인홈으로 이동했다가 다시 400 에러 페이지 뜸
→ 로그인 페이지로 바로 이동하기",,확인불가,,,확인불가,,,확인불가,,,확인불가,,,Low,시작 전
QA_0042,메인 홈,채팅방 클릭 시 활성화,,채팅방 클릭,,콘텐츠,1. 채팅방 클릭 시 활성화 되는가?,1. 채팅방 비활성화 → 활성화 상태 변경,Pass,,,Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
QA_0043,메인 홈,클릭한 채팅방 진입,,채팅방 클릭,페이지 이동,콘텐츠,1. 채팅방 클릭 시 해당 채팅방으로 정상 이동 하는가?,1. 선택한 채팅방 정상 진입,Pass,1. 거리감 슬라이더와 ai 메시지가 오지 않고 채팅방만 있음,%ED%85%8C%EC%8A%A4%ED%8A%B8%20%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4/QA_0043/123.png,Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
QA_0044,채팅방,진입 시 서버 오류 확인,,,,페이지,"1. 서버 오류 시(500,400) 해당 페이지가 정상 노출되는가?
2. 400페이지 하단에 [go back] 버튼이 노출되면 해당 버튼 클릭 시 로그인페이지로 이동하는가?","1. 해당 페이지 정상 노출
1-1. 500페이지 메시지
: Uh-oh!
Something went wrong.
Don’t worry, it’s not your fault.
We’re already looking into it,
so please check back later.
Error Code : 500
1-2. 400페이지 메시지
: Uh-oh! Looks like this page got lost.
The path you’re trying to reach isn’t here right now.
Please head back to the homepage.
Error Code : 400
2. 버튼 정상 노출 및 메인홈( DOR_CH_001) 이동",Fail,"1. 2 go back 클릭 시 메인홈으로 이동했다가 다시 400 에러 페이지 뜸
→ 로그인 페이지로 바로 이동하기",,확인불가,,,확인불가,,,확인불가,,,확인불가,,,Low,시작 전
QA_0045,채팅방,화면 상단 채팅방 이름 노출,채팅방 화면,,,콘텐츠,1. 채팅방 이름이 정상 노출되는가?,"1. 채팅방 이름 정상 노출
: Friend, Honey, Coworker, Senior",Pass,,,Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
QA_0046,채팅방,[이전] 버튼 클릭 후 메인 화면 이동,,이전 버튼 클릭,,[이전] 버튼,"1. [이전] 버튼이 정상 노출되는가?
2. 클릭 시 메인홈(채팅목록)으로 이동하는가?","1. [이전] 버튼 정상 노출
2. 메인홈(채팅목록) 이동",Pass,,,Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
QA_0047,채팅방,상단 [북마크] 버튼 탭 시 보관함 화면 이동,,보관함 버튼 클릭,,[보관함] 버튼,"1. [보관함] 버튼이 정상 노출되는가?
2. 탭 시 해당 채팅방 보관함으로 이동하는가?","1. [보관함] 버튼 정상 노출
2. 해당 채팅방 보관함 이동",Pass,,,Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
QA_0048,채팅방,채팅방 진입 후 거리감 슬라이더 확인,,,,슬라이더 박스,"1. 거리감 슬라이더가 정상 노출되는가?
2. 슬라이더의 디폴트가 Polite인가?
2-1. 슬라이더 값이 polite, casual, friendly로 노출되는가?
3. 레벨 설정 전 [Confirm] 버튼이 활성화 상태인가?
4. Honey 채팅방의 경우 슬라이더 값이 Polite/friendly 두개인가?","1. 거리감 슬라이더 박스 정상 노출
2. 슬라이더의 디폴트 Polite로 정상 상태
2-1. 정상 노출
3. [Confirm] 버튼 활성화 정상 노출
4. 슬라이더 값 Polite/ friendly 두개 값만 노출",Pass,,,Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
QA_0049,채팅방,친밀도 설정 가이드 메시지 확인,,,,콘텐츠,1. 친밀도 설정 가이드 메시지가 노출되는가?,"1. 설명 메시지 정상 노출
: Slide to adjust the closeness.
Leave and return to reset your closeness settings.",Pass,,,Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
QA_0050,채팅방,친밀도 슬라이더 이동 및 [Confirm] 버튼 활성화 확인,,슬라이더 이동,,슬라이더,"1. 슬라이더가 정상 이동되는가?
2. 이동 시 슬라이더의 색이 변하는가?
3. 이동 후에도 [Confirm] 버튼이 활성화되어있는가?","1. 슬라이더 정상 이동
2. 슬라이더 색 정상 변화 노출
3.  [Confirm] 버튼 활성화 정상 노출",Pass,,,Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
QA_0051,채팅방,[Confirm] 버튼 클릭 후 친밀도 설정 완료,,슬라이더 이동,Confirm 버튼 클릭,[Confirm] 버튼,"1. [Confirm] 버튼 클릭 시 해당 영역이 사라지는가?
(애니메이션 : slide up + fade out)
2. 동시에 상단에 친밀도 설정 라벨이 정상 노출이 되는가?
3. 동시에 하단에 입력 필드 노출 되는가?
4. 입력필드에 플레이스 홀더 노출 되는가? ","1. 거리감 설정 영역이 위로 이동하며 비노출
2. 상단에 친밀도 설정 라벨이 정상 노출
: Chatting in [설정 친밀도] Mode
3. 하단 입력 필드 정상 노출
4. 입력 필드에 문구 노출
: 메시지 입력",Pass,,,Pass,,,Pass,,,Pass,,,Pass,,,Low,시작 전
QA_0052,채팅방,코치마크 등장 확인,,,,코치마크,"1. 첫 채팅 등장 0.6초 후 코치마크가 등장하는가?
2. 회원가입 이후 최초 대화시에만 제공되는가?
3. 설명 메시지와 이미지가 등장하는가?
4. [창 닫기] 버튼이 노출되는가?","1. 0.6초 후 코치마크 정상 노출
2. 회원가입 후 최초 대화 1회에만 노출
3. 설명 메시지 정상 노출
: Save this expression, Check your saved expressions
4. [창 닫기] 버튼 정상 노출",Pass,,,Pass,,,Pass,,,Fail,"1. 빈 보관함에서 ‘start chat’버튼으로 진입한 경우에도 코치마크가 등장 → 흘려보고 다시 채팅목록에서 진입 시, 코치마크 비노출 -지현",,Pass,,,Medium,완료
QA_0053,채팅방,친밀도 설정 후 챗봇 답변 생성 확인,,,,이미지,1. 챗봇 답변의 로딩 표현이 노출되는가?,1. 로딩 표현 정상 노출,Pass,,,Pass,,,Pass,,,Pass,,,Pass,,,Low,완료
